//-------------------------//
//       Red Dragon        //
//-------------------------//
0
0	0	50
0	3	50
0	6	50
0	9	50
0	12	50
0	15	50
0	18	50
0	21	50

//--------------------------------//
// Skeleton, Budge Dragon, Taikan //
//--------------------------------//
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0

//-------------------------//
//     Golden Invasion     //
//-------------------------//
2	0	0
2	12	0

//-------------------------//
//      White Wizard       //
//-------------------------//
3	0	30
3	4	30
3	8	30
3	12	30
3	16	30
3	20	30
end
