//---------------------------------------------------------------------------------------
// Files brindados por Mirage Continent & www.miragecontinent.com (Files 99B+)
// Box of Luck y Box of Heaven
//---------------------------------------------------------------------------------------					
	0	3	6	1	1	1
	0	5	6	1	1	1
	0	9	6	1	1	1
	0	10	6	1	1	1
	0	13	6	1	1	1
	3	8	6	1	1	1
	4	4	6	1	1	1
	4	9	6	1	1	1
	4	11	6	1	1	1
	4	5	6	1	1	1
	4	12	6	1	1	1
	5	0	6	1	1	1
	5	2	6	1	1	1
	5	3	6	1	1	1
	5	4	6	1	1	1
	7	0	6	1	1	1
	7	2	6	1	1	1
	7	4	6	1	1	1
	7	5	6	1	1	1
	7	6	6	1	1	1
	7	7	6	1	1	1
	7	8	6	1	1	1
	7	10	6	1	1	1
	7	11	6	1	1	1
	7	12	6	1	1	1
	8	0	6	1	1	1
	8	2	6	1	1	1
	8	4	6	1	1	1
	8	5	6	1	1	1
	8	6	6	1	1	1
	8	7	6	1	1	1
	8	8	6	1	1	1
	8	10	6	1	1	1
	8	11	6	1	1	1
	8	12	6	1	1	1
	9	0	6	1	1	1
	9	2	6	1	1	1
	9	4	6	1	1	1
	9	5	6	1	1	1
	9	6	6	1	1	1
	9	7	6	1	1	1
	9	8	6	1	1	1
	9	10	6	1	1	1
	9	11	6	1	1	1
	9	12	6	1	1	1
	10	0	6	1	1	1
	10	2	6	1	1	1
	10	4	6	1	1	1
	10	5	6	1	1	1
	10	6	6	1	1	1
	10	7	6	1	1	1
	10	8	6	1	1	1
	10	10	6	1	1	1
	10	11	6	1	1	1
	10	12	6	1	1	1
	11	0	6	1	1	1
	11	2	6	1	1	1
	11	4	6	1	1	1
	11	5	6	1	1	1
	11	6	6	1	1	1
	11	7	6	1	1	1
	11	8	6	1	1	1
	11	10	6	1	1	1
	11	11	6	1	1	1
	11	12	6	1	1	1
end
